0,0.3,0
0.0094232,0.29985,0.005
0.018837,0.29941,0.01
0.028232,0.29867,0.015
0.0376,0.29763,0.02
0.04693,0.29631,0.025
0.056214,0.29469,0.03
0.065443,0.29278,0.035
0.074607,0.29057,0.04
0.083697,0.28809,0.045
0.092705,0.28532,0.05
0.10162,0.28226,0.055
0.11044,0.27893,0.06
0.11914,0.27533,0.065
0.12773,0.27145,0.07
0.1362,0.2673,0.075
0.14453,0.26289,0.08
0.15271,0.25822,0.085
0.16075,0.2533,0.09
0.16863,0.24812,0.095
0.17634,0.24271,0.1
0.18387,0.23705,0.105
0.19123,0.23115,0.11
0.19839,0.22503,0.115
0.20536,0.21869,0.12
0.21213,0.21213,0.125
0.21869,0.20536,0.13
0.22503,0.19839,0.135
0.23115,0.19123,0.14
0.23705,0.18387,0.145
0.24271,0.17634,0.15
0.24812,0.16863,0.155
0.2533,0.16075,0.16
0.25822,0.15271,0.165
0.26289,0.14453,0.17
0.2673,0.1362,0.175
0.27145,0.12773,0.18
0.27533,0.11914,0.185
0.27893,0.11044,0.19
0.28226,0.10162,0.195
0.28532,0.092705,0.2
0.28809,0.083697,0.205
0.29057,0.074607,0.21
0.29278,0.065443,0.215
0.29469,0.056214,0.22
0.29631,0.04693,0.225
0.29763,0.0376,0.23
0.29867,0.028232,0.235
0.29941,0.018837,0.24
0.29985,0.0094232,0.245
0.3,1.837e-17,0.25
0.29985,-0.0094232,0.255
0.29941,-0.018837,0.26
0.29867,-0.028232,0.265
0.29763,-0.0376,0.27
0.29631,-0.04693,0.275
0.29469,-0.056214,0.28
0.29278,-0.065443,0.285
0.29057,-0.074607,0.29
0.28809,-0.083697,0.295
0.28532,-0.092705,0.3
0.28226,-0.10162,0.305
0.27893,-0.11044,0.31
0.27533,-0.11914,0.315
0.27145,-0.12773,0.32
0.2673,-0.1362,0.325
0.26289,-0.14453,0.33
0.25822,-0.15271,0.335
0.2533,-0.16075,0.34
0.24812,-0.16863,0.345
0.24271,-0.17634,0.35
0.23705,-0.18387,0.355
0.23115,-0.19123,0.36
0.22503,-0.19839,0.365
0.21869,-0.20536,0.37
0.21213,-0.21213,0.375
0.20536,-0.21869,0.38
0.19839,-0.22503,0.385
0.19123,-0.23115,0.39
0.18387,-0.23705,0.395
0.17634,-0.24271,0.4
0.16863,-0.24812,0.405
0.16075,-0.2533,0.41
0.15271,-0.25822,0.415
0.14453,-0.26289,0.42
0.1362,-0.2673,0.425
0.12773,-0.27145,0.43
0.11914,-0.27533,0.435
0.11044,-0.27893,0.44
0.10162,-0.28226,0.445
0.092705,-0.28532,0.45
0.083697,-0.28809,0.455
0.074607,-0.29057,0.46
0.065443,-0.29278,0.465
0.056214,-0.29469,0.47
0.04693,-0.29631,0.475
0.0376,-0.29763,0.48
0.028232,-0.29867,0.485
0.018837,-0.29941,0.49
0.0094232,-0.29985,0.495
3.6739e-17,-0.3,0.5
-0.0094232,-0.29985,0.505
-0.018837,-0.29941,0.51
-0.028232,-0.29867,0.515
-0.0376,-0.29763,0.52
-0.04693,-0.29631,0.525
-0.056214,-0.29469,0.53
-0.065443,-0.29278,0.535
-0.074607,-0.29057,0.54
-0.083697,-0.28809,0.545
-0.092705,-0.28532,0.55
-0.10162,-0.28226,0.555
-0.11044,-0.27893,0.56
-0.11914,-0.27533,0.565
-0.12773,-0.27145,0.57
-0.1362,-0.2673,0.575
-0.14453,-0.26289,0.58
-0.15271,-0.25822,0.585
-0.16075,-0.2533,0.59
-0.16863,-0.24812,0.595
-0.17634,-0.24271,0.6
-0.18387,-0.23705,0.605
-0.19123,-0.23115,0.61
-0.19839,-0.22503,0.615
-0.20536,-0.21869,0.62
-0.21213,-0.21213,0.625
-0.21869,-0.20536,0.63
-0.22503,-0.19839,0.635
-0.23115,-0.19123,0.64
-0.23705,-0.18387,0.645
-0.24271,-0.17634,0.65
-0.24812,-0.16863,0.655
-0.2533,-0.16075,0.66
-0.25822,-0.15271,0.665
-0.26289,-0.14453,0.67
-0.2673,-0.1362,0.675
-0.27145,-0.12773,0.68
-0.27533,-0.11914,0.685
-0.27893,-0.11044,0.69
-0.28226,-0.10162,0.695
-0.28532,-0.092705,0.7
-0.28809,-0.083697,0.705
-0.29057,-0.074607,0.71
-0.29278,-0.065443,0.715
-0.29469,-0.056214,0.72
-0.29631,-0.04693,0.725
-0.29763,-0.0376,0.73
-0.29867,-0.028232,0.735
-0.29941,-0.018837,0.74
-0.29985,-0.0094232,0.745
-0.3,-5.5109e-17,0.75
-0.29985,0.0094232,0.755
-0.29941,0.018837,0.76
-0.29867,0.028232,0.765
-0.29763,0.0376,0.77
-0.29631,0.04693,0.775
-0.29469,0.056214,0.78
-0.29278,0.065443,0.785
-0.29057,0.074607,0.79
-0.28809,0.083697,0.795
-0.28532,0.092705,0.8
-0.28226,0.10162,0.805
-0.27893,0.11044,0.81
-0.27533,0.11914,0.815
-0.27145,0.12773,0.82
-0.2673,0.1362,0.825
-0.26289,0.14453,0.83
-0.25822,0.15271,0.835
-0.2533,0.16075,0.84
-0.24812,0.16863,0.845
-0.24271,0.17634,0.85
-0.23705,0.18387,0.855
-0.23115,0.19123,0.86
-0.22503,0.19839,0.865
-0.21869,0.20536,0.87
-0.21213,0.21213,0.875
-0.20536,0.21869,0.88
-0.19839,0.22503,0.885
-0.19123,0.23115,0.89
-0.18387,0.23705,0.895
-0.17634,0.24271,0.9
-0.16863,0.24812,0.905
-0.16075,0.2533,0.91
-0.15271,0.25822,0.915
-0.14453,0.26289,0.92
-0.1362,0.2673,0.925
-0.12773,0.27145,0.93
-0.11914,0.27533,0.935
-0.11044,0.27893,0.94
-0.10162,0.28226,0.945
-0.092705,0.28532,0.95
-0.083697,0.28809,0.955
-0.074607,0.29057,0.96
-0.065443,0.29278,0.965
-0.056214,0.29469,0.97
-0.04693,0.29631,0.975
-0.0376,0.29763,0.98
-0.028232,0.29867,0.985
-0.018837,0.29941,0.99
-0.0094232,0.29985,0.995
-7.3479e-17,0.3,1
